material_id,pretty_formula,band_gap
mp-570587,CdH8C2NCl3,4.0526
mp-570857,Y(AlCl4)3,4.0351
mp-571124,Cs2KScCl6,4.0621
mp-571540,ZnCl2,4.0184999999999995
mp-573196,Cs3Li2Ga(MoO4)4,4.0242
mp-580554,CsLi3Br4,4.0021
mp-5985,HoTaO4,4.0381
mp-600189,MnH14C3NCl3O2,4.0385
mp-6067,Tl2Cd2(SO4)3,4.0064
mp-6089,BaZn2(PO4)2,4.042599999999999
mp-6247,Na3Li3Fe2F12,4.0681
mp-625415,Tb(HO)3,4.0489999999999995
mp-625455,NaH9O5,4.0002
mp-625632,H9BrO4,4.0408
mp-625733,La(HO)3,4.0093
mp-625801,Sr(H8O5)2,4.0014
mp-625803,Sr(H8O5)2,4.0124
mp-625998,LiHO,4.022
mp-626227,Ca(H8O5)2,4.0601
mp-626230,Ca(H8O5)2,4.061
mp-626260,Sr(H8O5)2,4.0035
mp-626264,Ba(H8O5)2,4.0538
mp-626267,Ca(H8O5)2,4.0115
mp-626268,Ba(H8O5)2,4.042199999999999
mp-626279,Ca(H8O5)2,4.0088
mp-626467,Al(HO)3,4.0194
mp-626552,Ca(H8O5)2,4.0045
mp-629015,BN,4.0020999999999995
mp-638261,La2GeO5,4.032399999999999
mp-638424,Sb2S2O9,4.0328
mp-640357,Al2SiO5,4.0708
mp-6404,BaCa2(PN2)6,4.0725999999999996
mp-642662,SrH2Cl2O,4.0428
mp-643158,PH8IN4,4.0191
mp-643243,Cs2H6Pt,4.0439
mp-643263,Na3VH6O7,4.0436000000000005
mp-6446,Ba3La2(BO3)4,4.0127
mp-6491,Na2ZnP2O7,4.0485
mp-6574,Er2C(NO)2,4.0129
mp-661,AlN,4.0536
mp-6693,CaZn(SiO3)2,4.0611
mp-672958,LiSb(PO3)4,4.0476
mp-673073,LiSbP2O7,4.0385
mp-675472,Al17(NO7)3,4.0191
mp-675682,Al11NO15,4.052200000000001
mp-6759,BaGa2(SiO4)2,4.009
mp-6760,Na3La9B8O27,4.015200000000001
mp-676020,BaCO3,4.0287
mp-676278,Ca2SiO4,4.052099999999999
mp-677193,Mg3BH2O5F,4.010199999999999
mp-677336,Na10Zr6Si7(PO18)2,4.0021
mp-684042,Li3Bi2(PO4)3,4.0073
mp-684082,LiSb(PO3)4,4.004099999999999
mp-690951,ErZr11Si11PO48,4.0268
mp-6949,InF3,4.028
mp-695074,KNa3Al4(SiO4)4,4.0625
mp-695133,CsMg4Al9(SiO4)9,4.0440000000000005
mp-695170,Nd3Al3Si3(NO6)2,4.004999999999999
mp-6964,NaTbO2,4.0064
mp-697222,Rb3LiZn2(MoO4)4,4.0278
mp-697575,Rb2ZnH4,4.060499999999999
mp-697767,LiMoP2O7,4.0674
mp-698018,LiAlSi2H2O7,4.0006
mp-705402,Li14Mn9(P2O7)8,4.0028
mp-707218,Ba3AlHO4,4.0412
mp-707961,KB3(H3O4)2,4.0494
mp-708961,BeH8SeO8,4.0571
mp-720804,K3Na3TeP6(HO4)6,4.017399999999999
mp-721582,H2S,4.0299
mp-721712,NaH4CSNO2,4.0039
mp-740752,BaRe2(H2O3)4,4.0226
mp-7492,LaBO3,4.0454
mp-752458,Dy3Y5O12,4.0053
mp-752466,Li2Mn2(CO3)3,4.0253
mp-752514,BaSrI4,4.0633
mp-752582,Li4VO4F,4.0558
mp-752671,Ba2SrI6,4.0581000000000005
mp-752672,NaDyO2,4.0417000000000005
mp-752826,Al2O3,4.0095
mp-753413,Ba2B2O5,4.0678
mp-754240,CaSm2O4,4.051
mp-754796,NaTmO2,4.0544
mp-754815,YBr3,4.0522
mp-754825,NaTmO2,4.072900000000001
mp-754987,Li3FePCO7,4.0615000000000006
mp-755311,NaLuO2,4.0586
mp-755434,Li2MnF4,4.0145
mp-755436,Na3VO4,4.0347
mp-755617,NaHoO2,4.0015
mp-756034,NaSmO2,4.0559
mp-756564,BaYCl5,4.023899999999999
mp-756705,YAlO3,4.0582
mp-757001,Y15TmO24,4.0571
mp-757074,BaCa2I6,4.0225
mp-757138,Li2Sn(PO3)4,4.0198
mp-757197,DyY3O6,4.0231
mp-757791,SmY15O24,4.0156
mp-757838,LiSn(PO3)3,4.0604000000000005
mp-758033,Y13Ho19O48,4.0092
mp-758184,LiFe(PO3)3,4.0098
mp-758609,Li2Fe(PO3)4,4.0093000000000005
mp-758876,Li2MnF4,4.0468
mp-758948,Cs2H6CO6,4.0516
mp-759189,MnAl2P2(HO)18,4.031499999999999
mp-759493,LiSbP2O7,4.0245
mp-7595,GeF2,4.0323
mp-759596,LiBiP2O7,4.0556
mp-759638,Y5Tm11O24,4.047700000000001
